what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1359501803379
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1359501804203
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1359501804259
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359501806025
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1359501815653
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359501825221
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359501854717
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359501877956
started,bundle,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms",1359501917574
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1359501917596
started,bundle,com.android.ide.eclipse.traceview,21.0.0.v201210310015-519525,"com.android.ide.eclipse.traceview",1359501920824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359501924661
opened,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1359502004419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502009843
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1359502009861
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1359502046644
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359502075519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502080247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1359502198458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1359502198458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502198494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502208436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502232871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502242525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359502248286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502248305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502262322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1359502299854
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1359502299854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502299872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502303744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502308307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502313984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359502315160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502315178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502329421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1359502349852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1359502349852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502349878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502352002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502357363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502362852
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359502368402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502368418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502438013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502445769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1359502455184
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359502536843
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1359502536939
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1359502551407
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1359502555163
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359502556556
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1359502556723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502563148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359502564490
