what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1360519646126
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360519674702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360519677374
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1360519681187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360519685183
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360519757974
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360519828581
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360519829952
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360519829952
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360519842181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360519868983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360519880872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360519970489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520014239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520022502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1360520046454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1360520046454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520046475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520051443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520072353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520079837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1360520094053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1360520094053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520094078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520096565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520111284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520121824
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1360520126021
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520126061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520131812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360520137835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520137852
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.copy.qualified.name",1360520144401
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1360520149053
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360520166351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520171500
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1360520173091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520175918
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360520272328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520277452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520295380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520313610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520326761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520354212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1360520387572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1360520387572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520387592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520392415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520421760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520445629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520451725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520451787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360520451958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520451975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520459758
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1360520461384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520461418
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1360520472589
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360520488250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520495714
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1360520498717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520502408
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360520591123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360520596445
