what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360508677238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360508695573
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1360508696811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360508696828
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1360508698058
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360508699909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360508729307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360508767243
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360508794132
started,bundle,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms",1360508800903
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1360508800963
started,bundle,com.android.ide.eclipse.traceview,21.0.0.v201210310015-519525,"com.android.ide.eclipse.traceview",1360508804189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360508812900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360508821507
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1360508970524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509003813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509110476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509172961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509217861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1360509277523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509293286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509308415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360509312947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1360509347265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509359093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509375165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360509382857
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360509388745
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360509388801
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360509388840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509430938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509442206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509454951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1360509457960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509457976
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1360509482599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509484918
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1360509486596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509486625
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360509505092
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360509505113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509526386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1360509550093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1360509550093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509550132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509554999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509577331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509608631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509611124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509611186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1360509611330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509611346
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360509623972
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360509624017
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360509624038
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360509626551
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1360509632042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360509635774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509677691
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360509682692
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1360509682695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360509682711
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1360509701483
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360509713212
