what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1360512927535
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360512927604
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1360512927604
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360512930966
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360512959070
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1360512970044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360512971038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360513046624
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360513050262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360513064798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360513069210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360513072817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360513157586
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360513168777
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1360513172156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360513187160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360513190209
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1360513192322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360513234170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360513238817
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1360513253501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360513273635
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1360513281216
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.move.element",1360513281406
