what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359927833331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359927878780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1359928013923
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1359928013923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359928013973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359928019867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359928021712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359928032404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1359928112063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1359928112063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359928112126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359928115630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359928137989
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1359928164289
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1359928164582
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1359928164606
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1359928164610
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1359928164624
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1359928164717
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1359928164979
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1359928165320
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1359928165346
