what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.base,21.0.0.v201210310015-519525,"com.android.ide.eclipse.base",1361737176132
started,bundle,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms",1361737176144
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1361737176145
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1361737176162
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1361737176173
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1361737176179
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1361737176196
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1361737176227
os,sysinfo,,,"linux",1361737176232
arch,sysinfo,,,"x86",1361737176232
ws,sysinfo,,,"gtk",1361737176232
locale,sysinfo,,,"pt_BR",1361737176232
processors,sysinfo,,,"2",1361737176232
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1361737176232
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1361737176232
java.specification.name,sysinfo,,,"Java Platform API Specification",1361737176232
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1361737176232
java.specification.version,sysinfo,,,"1.6",1361737176232
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1361737176232
java.version,sysinfo,,,"1.6.0_24",1361737176232
java.vm.info,sysinfo,,,"mixed mode, sharing",1361737176232
java.vm.name,sysinfo,,,"OpenJDK Client VM",1361737176232
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1361737176232
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1361737176232
java.vm.specification.version,sysinfo,,,"1.0",1361737176232
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1361737176232
java.vm.version,sysinfo,,,"20.0-b12",1361737176232
started,bundle,com.android.ide.eclipse.traceview,21.0.0.v201210310015-519525,"com.android.ide.eclipse.traceview",1361737176648
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.301.v20111010_1242,"org.eclipse.jst.server.tomcat.core",1361737176743
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1361737176913
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1361737176925
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1361737177459
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1361737177489
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1361737177785
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1361737178264
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1361737178540
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1361737178580
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1361737179338
