what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360539490067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360539844159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360539846963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360539848853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360539848943
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1360539850347
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360539850375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360539850419
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1360539852813
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1360539853457
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1360539855305
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1360539856292
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1360539856903
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1360539858235
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1360539858729
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.StepOver",1360539859392
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1360539859578
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1360539859699
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1360539894769
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360539897137
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1360539897138
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360539913583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360540233428
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360540242839
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1360540243962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360540259606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360540265119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360540266626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360540315461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360540317296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360540326192
